,Airport Name,Annual OTP,No. of operations,Country,Sub Region,Star Rating
470,Stockholm Arlanda Apt,68.5,229667,Sweden,Western Europe,1*
471,Nottingham East Midlands Airport,68.4,31875,United Kingdom,Western Europe,1*
472,Udaipur,68.4,9802,India,South Asia,1*
473,Bologna Guglielmo Marconi,68.4,63481,Italy,Western Europe,1*
474,Nantucket,68.2,22401,USA,North America,1*
475,Santiago (DO),68.2,11010,Dominican Republic,Caribbean,1*
476,Kiev Borispol Intl Apt,68.1,78129,Ukraine,Eastern/Central Europe,1*
477,Catania,68.1,64978,Italy,Western Europe,1*
478,Hong Kong International Apt,68.1,360211,Hong Kong (sar) China,North East Asia,1*
479,Paris Charles de Gaulle Apt,68,446278,France,Western Europe,1*
480,Bacolod,67.9,12684,Philippines,South East Asia,1*
481,Moscow Domodedovo Apt,67.9,221770,Russian Federation,Eastern/Central Europe,1*
482,Toronto Lester B Pearson Intl,67.8,443314,Canada,North America,1*
483,Porto,67.5,82563,Portugal,Western Europe,1*
484,Cagayan de Oro,67.4,17383,Philippines,South East Asia,1*
485,Edinburgh,67.3,116972,United Kingdom,Western Europe,1*
486,Seoul Incheon International Airport,67.1,337718,Korea Republic of,North East Asia,1*
487,Beijing Capital Intl Apt,67,600380,China,North East Asia,1*
488,Budapest,66.9,93495,Hungary,Eastern/Central Europe,1*
489,Guangzhou,66.7,457416,China,North East Asia,1*
490,Cali,66.5,40750,Colombia,Upper South America,1*
491,Kuala Lumpur International Airport,66.4,391799,Malaysia,South East Asia,1*
492,Barranquilla,66,22372,Colombia,Upper South America,1*
493,Davao,65.7,27257,Philippines,South East Asia,1*
494,Cebu,65.7,92261,Philippines,South East Asia,1*
495,London Gatwick Apt,65.4,267013,United Kingdom,Western Europe,1*
496,Bogota,65.1,268003,Colombia,Upper South America,1*
497,Lahore,64.6,30205,Pakistan,South Asia,1*
498,Manila Ninoy Aquino International Apt,63.9,262641,Philippines,South East Asia,1*
499,Shenzhen,63.7,329933,China,North East Asia,1*
500,Karachi,63.4,51434,Pakistan,South Asia,1*
501,Tacloban,62.9,10506,Philippines,South East Asia,1*
502,Toronto Bishop Billy City A/P,62.7,62029,Canada,North America,1*
503,Manchester (GB),61.9,180178,United Kingdom,Western Europe,1*
504,Kuwait,61.7,109400,Kuwait,Middle East,1*
505,Paris Orly Apt,61.5,231688,France,Western Europe,1*
506,Yiwu,61.5,11714,China,North East Asia,1*
507,Lisbon,60.7,204297,Portugal,Western Europe,1*
508,Mumbai,60,320115,India,South Asia,1*
509,Puerto Princesa,58.6,13341,Philippines,South East Asia,1*
510,Jakarta Soekarno-Hatta Apt,58.5,490585,Indonesia,South East Asia,1*
511,Islamabad,56.9,36231,Pakistan,South Asia,1*
512,Tunis,43.3,49307,Tunisia,North Africa,1*
