,Airport Name,Annual OTP,No. of operations,Country,Sub Region,Star Rating
306,Chattanooga Metropolitan Apt,78.1,17832,USA,North America,3*
307,Wilkes-Barre/Scranton International Apt,78.1,10070,USA,North America,3*
308,Fort Myers Sw Florida International Apt,78,69651,USA,North America,3*
309,Manaus Eduardo Gomes International,78,20401,Brazil,Upper South America,3*
310,Rotterdam Apt,78,13340,Netherlands,Western Europe,3*
311,Buffalo,78,58705,USA,North America,3*
312,Mendoza,78,16966,Argentina,Upper South America,3*
313,Sydney Kingsford Smith Apt,78,317952,Australia,Southwest Pacific,3*
314,Dayton James M. Cox Intl Apt,77.9,34779,USA,North America,3*
315,Ibiza,77.8,58335,Spain,Western Europe,3*
316,Punta Cana,77.8,38795,Dominican Republic,Caribbean,3*
317,Harrisburg International Apt,77.8,23874,USA,North America,3*
318,Vienna International,77.8,220833,Austria,Western Europe,3*
319,Montego Bay,77.8,28568,Jamaica,Caribbean,3*
320,Alicante Airport,77.7,89072,Spain,Western Europe,3*
321,San Jose Juan Santamaria Apt,77.7,68480,Costa Rica,Central America,3*
322,Augusta Regional (Bush Field),77.7,9996,USA,North America,3*
323,Philadelphia International Apt,77.7,335276,USA,North America,3*
324,Roanoke,77.6,14830,USA,North America,3*
325,Islip,77.6,14194,USA,North America,3*
326,Ljubljana,77.5,23638,Slovenia,Eastern/Central Europe,3*
327,Hamburg Airport,77.5,139698,Germany,Western Europe,3*
328,Addis Ababa,77.4,91703,Ethiopia,Eastern Africa,3*
329,Naples Capodichino Apt,77.4,68772,Italy,Western Europe,3*
330,Basel,77.4,59016,Switzerland,Western Europe,3*
331,Melbourne Airport,77.3,238920,Australia,Southwest Pacific,3*
332,Rochester (US) NY,77.3,39614,USA,North America,3*
333,Indore,77.3,19601,India,South Asia,3*
334,Santiago (CL),77.3,147365,Chile,Upper South America,3*
335,Richmond (US),77.3,54405,USA,North America,3*
336,Orlando International Apt,77.2,316241,USA,North America,3*
337,Amsterdam,77.2,472476,Netherlands,Western Europe,3*
338,Belfast George Best City Apt,77.2,36755,United Kingdom,Western Europe,3*
339,Bhubaneshwar,77.1,24946,India,South Asia,3*
340,Burlington (US) VT,77.1,22639,USA,North America,3*
341,Napier-Hastings,77,14927,New Zealand,Southwest Pacific,3*
342,Key West International Apt,77,17451,USA,North America,3*
343,Munich International Airport,77,384142,Germany,Western Europe,3*
344,Palma de Mallorca,77,177425,Spain,Western Europe,3*
345,Malaga Airport,76.9,121936,Spain,Western Europe,3*
346,Albany International Airport,76.9,41173,USA,North America,3*
347,Berlin Tegel Apt,76.9,166126,Germany,Western Europe,3*
348,Charlottesville,76.8,15715,USA,North America,3*
349,Akron/Canton Regional,76.8,18394,USA,North America,3*
350,Zagreb,76.7,36913,Croatia,Eastern/Central Europe,3*
351,Pisa,76.7,35852,Italy,Western Europe,3*
352,Ahmedabad,76.7,60914,India,South Asia,3*
353,Portland (US) ME,76.6,29019,USA,North America,3*
354,Rome Fiumicino Apt,76.6,296552,Italy,Western Europe,3*
355,Syracuse,76.5,35903,USA,North America,3*
356,Riga,76.5,71623,Latvia,Eastern/Central Europe,3*
357,Tallinn,76.5,37365,Estonia,Eastern/Central Europe,3*
358,Guwahati,76.5,39887,India,South Asia,3*
359,Pune,76.5,57650,India,South Asia,3*
360,Bangor,76.5,11033,USA,North America,3*
361,Asheville/Hendersonville,76.4,15193,USA,North America,2*
362,Zurich Airport,76.4,240650,Switzerland,Western Europe,2*
363,Leipzig/Halle,76.3,19033,Germany,Western Europe,2*
364,Pau,76.3,9373,France,Western Europe,2*
365,Tenerife Sur Apt,76.1,52454,Spain,Western Europe,2*
366,Belfast International Apt,76.1,38919,United Kingdom,Western Europe,2*
367,"Nuremberg, Nuremberg",76,41046,Germany,Western Europe,2*
368,San Francisco,75.9,438064,USA,North America,2*
369,Miri,75.9,32125,Malaysia,South East Asia,2*
370,Port of Spain,75.9,38808,Trinidad and Tobago,Caribbean,2*
371,Aruba,75.8,25870,Aruba,Caribbean,2*
