AtlasGlobal,Turkey,3,Y,Y,Y,Y, 100 
Aurigny Air Services,Channel Islands,0,Y,Y,Y,Y, 57.142857142857 
Austral,Argentina,3,Y,Y,Y,Y, 100 
Austrian Airlines,Austria,3,Y,Y,Y,Y, 100 
Avia Traffic Company,Kyrgyzstan,0,N,Y,Y,Y, 42.857142857143 
Avianca,Colombia,3,Y,Y,Y,Y, 100 
Avianca Brazil,Brazil,3,Y,Y,Y,Y, 100 
Avianca Ecuador,Ecuador,3,Y,Y,Y,Y, 100 
Avior Airlines,Venezuela,0,N,Y,Y,Y, 42.857142857143 
AZAL Azerbaijan Airlines,Azerbaijan,3,Y,Y,Y,N, 85.714285714286 
Azores Airlines,Portugal,3,Y,Y,Y,Y, 100 
Azul,Brazil,3,Y,Y,Y,Y, 100 
BA CityFlyer,United Kingdom,3,Y,Y,Y,Y, 100 
Bahamas Air,Bahamas,3,Y,Y,Y,Y, 92.857142857143 
Bangkok Airways,Thailand,3,Y,N,N,N, 57.142857142857 
Belavia,Belarus,3,Y,Y,Y,N, 85.714285714286 
Biman Bangladesh Airlines,Bangladesh,3,Y,Y,N,N, 71.428571428571 
Binter Canarias,Spain,3,Y,Y,Y,Y, 100 
blu-express,Italy,3,Y,Y,Y,Y, 100 
Blue Air,Romania,3,Y,Y,Y,Y, 100 
Blue Islands,Channel Islands,0,Y,Y,Y,Y, 57.142857142857 
Blue Panorama,Italy,3,Y,Y,Y,Y, 100 
Blue Wing,Suriname,0,N,N,Y,Y, 28.571428571429 
BMI Regional,United Kingdom,3,Y,Y,Y,Y, 100 
British Airways,United Kingdom,3,Y,Y,Y,Y, 100 
Brussels Airlines,Belgium,3,Y,Y,Y,Y, 100 
Bulgaria Air,Bulgaria,3,Y,Y,Y,Y, 100 
Cambodia Angkor Air,Cambodia,3,Y,Y,Y,N, 85.714285714286 
Canadian North,Canada,0,Y,Y,Y,Y, 57.142857142857 
Canaryfly,Spain,0,Y,Y,Y,Y, 57.142857142857 
Cape Air,United States,3,Y,Y,Y,Y, 100 
Capital Airlines,China,3,Y,Y,Y,Y, 100 
Caribbean Airlines,Trinidad and Tobago,3,Y,Y,Y,Y, 100 
Carpatair,Romania,3,Y,Y,Y,Y, 100 
Cathay Pacific,Hong Kong,3,Y,Y,Y,Y, 100 
Cayman Airways,Cayman Islands,3,Y,Y,Y,Y, 100 
Cebu Pacific,Philippines,3,Y,Y,Y,Y, 100 
Central Mountain Air,Canada,0,Y,Y,Y,Y, 57.142857142857 
China Airlines,Taiwan,3,Y,Y,Y,Y, 100 
China Eastern,China,3,Y,Y,Y,Y, 100 
China Southern,China,3,Y,Y,Y,Y, 100 
Citilink,Indonesia,0,Y,Y,Y,Y, 57.142857142857 
CityJet,United Kingdom,3,Y,Y,Y,Y, 100 
Condor Flugdienst,Germany,3,Y,Y,Y,Y, 100 
Conviasa,Venezuela,0,Y,N,Y,Y, 42.857142857143 
Copa Airlines,Panama,3,Y,Y,Y,N, 85.714285714286 
Corendon Airlines,Turkey,3,Y,Y,Y,Y, 100 
Corsair,France,3,Y,Y,Y,Y, 100 
Croatia Airlines,Croatia,3,Y,Y,Y,Y, 100 
Cubana,Cuba,3,Y,N,Y,Y, 85.714285714286 
Czech Airlines,Czech Republic,3,Y,Y,Y,Y, 100 
Delta Air Lines,United States,3,Y,Y,Y,Y, 100 
Dragonair,Hong Kong,3,Y,Y,Y,Y, 100 
Drukair Royal Bhutan,Bhutan,0,Y,Y,Y,N, 42.857142857143 
Eastar Jet,Korea,3,Y,Y,Y,Y, 100 
Eastern Airways,United Kingdom,0,Y,Y,Y,Y, 57.142857142857 
Easyfly,Colombia,0,Y,Y,Y,Y, 57.142857142857 
Edelweiss,Switzerland,3,Y,Y,Y,Y, 100 
EgyptAir,Egypt,3,Y,N,Y,N, 71.428571428571 
EL AL Israel Airlines,Israel,3,Y,Y,Y,Y, 100 
Emirates,United Arab Emirates,3,Y,Y,Y,Y, 100 
Ethiopian Airlines,Ethiopia,3,Y,N,Y,Y, 85.714285714286 
Etihad Airways,United Arab Emirates,3,Y,Y,Y,Y, 100 
Eurowings,Germany,3,Y,Y,Y,Y, 100 
EVA Air,Taiwan,3,Y,Y,Y,Y, 100 
Express Air,Indonesia,0,Y,Y,Y,Y, 57.142857142857 
Fastjet,Tanzania,0,Y,Y,Y,N, 42.857142857143 
Fiji Airways,Fiji,3,Y,Y,Y,Y, 92.857142857143 
Finnair,Finland,3,Y,Y,Y,Y, 100 
Firefly,Malaysia,0,Y,Y,Y,Y, 57.142857142857 
First Air,Canada,0,Y,N,Y,Y, 42.857142857143 
fly540,Kenya,0,Y,Y,Y,Y, 57.142857142857 
Flybe,United Kingdom,3,Y,Y,Y,Y, 100 
Flydubai,United Arab Emirates,3,Y,N,Y,Y, 85.714285714286 
flyNas,Saudi Arabia,0,Y,Y,Y,Y, 57.142857142857 
Freebird,Turkey,3,Y,Y,Y,Y, 100 
Frontier Airlines,United States,3,Y,Y,Y,Y, 100 
Garuda Indonesia,Indonesia,3,Y,Y,Y,Y, 100 
Georgian Airways,Georgia,3,Y,Y,Y,Y, 100 
Germania,Germany,3,Y,Y,Y,Y, 100 
Germanwings,Germany,3,Y,Y,Y,Y, 100 
Go Air,India,3,Y,Y,Y,N, 85.714285714286 
GOL,Brazil,3,Y,Y,Y,Y, 100 
Gulf Air,Bahrain,3,Y,Y,Y,Y, 100 
Hainan Airlines,China,3,Y,Y,Y,Y, 100 
Hawaiian Airlines,United States,3,Y,Y,Y,Y, 100 
Helvetic  Airways,Switzerland,3,Y,Y,Y,Y, 100 
HK Express,Hong Kong,3,Y,Y,Y,Y, 100 
Hong Kong Airlines,Hong Kong,3,Y,Y,Y,Y, 100 
HOP,France,3,Y,Y,Y,Y, 100 
Hunnu Air,Mongolia,0,Y,Y,Y,Y, 57.142857142857 
Iberia and Iberia Express,Spain,3,Y,Y,Y,Y, 100 
Icelandair,Iceland,3,Y,Y,Y,Y, 100 
IndiGo,India,3,Y,Y,Y,N, 85.714285714286 
Interjet,Mexico,3,Y,Y,Y,Y, 100 
Iran Air and Iran Air Tour,Iran,3,Y,N,Y,Y, 85.714285714286 
Iran Aseman Airlines,Iran,3,N,N,Y,Y, 71.428571428571 
Iraqi Airways,Iraq,0,N,Y,Y,N, 28.571428571429 
Israir,Israel,3,Y,Y,Y,Y, 100 
Japan Airlines,Japan,3,Y,Y,Y,Y, 100 
Jazeera Airways,Kuwait,3,Y,Y,Y,N, 85.714285714286 
Jeju Air,Korea,3,Y,Y,Y,Y, 100 
Jet Airways,India,3,Y,Y,Y,N, 85.714285714286 
Jet Konnect,India,3,Y,Y,Y,N, 85.714285714286 
Jet2,United Kingdom,0,Y,Y,Y,Y, 57.142857142857 
TUI fly Belgium,Belgium,3,Y,Y,Y,Y, 100 
JetBlue Airways,United States,3,Y,Y,Y,Y, 100 
Jetstar,Australia,3,Y,Y,Y,Y, 100 
Jetstar Asia,Singapore,3,Y,Y,Y,Y, 100 
Jetstar Japan,Japan,0,Y,Y,Y,Y, 57.142857142857 
Jetstar Pacific,Vietnam,3,Y,Y,Y,Y, 100 
Jin Air,Korea,3,Y,Y,Y,Y, 100 
Joon,France,3,Y,Y,Y,Y, 100 
Juneyao Airlines,China,3,Y,Y,Y,Y, 100 
Kam Air,Afghanistan,0,N,Y,Y,N, 28.571428571429 
Kenya Airways,Kenya,3,Y,Y,Y,Y, 100 
Kish Airlines,Iran,3,Y,Y,Y,Y, 100 
KLM,Netherlands,3,Y,Y,Y,Y, 100 
KLM Cityhopper,Netherlands,3,Y,Y,Y,Y, 100 
Korean Air,Korea,3,Y,Y,Y,Y, 100 
Kulula,South Africa,3,Y,Y,Y,Y, 100 
Kunming Airlines,China,0,Y,Y,Y,Y, 57.142857142857 
Kuwait Airways,Kuwait,3,Y,Y,Y,N, 85.714285714286 
LADE,Argentina,0,Y,Y,Y,Y, 57.142857142857 
LAM,Mozambique,3,N,Y,Y,N, 71.428571428571 
LAN,Chile,3,Y,Y,Y,Y, 100 
Lao Airlines,Laos,3,Y,N,Y,Y, 85.714285714286 
Laser Airlines,Venezuela,0,Y,Y,Y,Y, 57.142857142857 
LATAM (formerly LAN),Chile,3,Y,Y,Y,Y, 100 
LATAM (formerly TAM),Brazil,3,Y,Y,Y,Y, 100 
LC Peru,Peru,3,Y,Y,Y,Y, 92.857142857143 
Level,Spain,3,Y,Y,Y,Y, 100 
LIAT,Antigua and Barbuda,3,Y,Y,Y,Y, 92.857142857143 
LOT Polish Airlines,Poland,3,Y,Y,Y,Y, 100 
Lucky Air,China,3,Y,Y,Y,Y, 100 
Lufthansa,Germany,3,Y,Y,Y,Y, 100 
Luxair,Luxembourg,3,Y,Y,Y,Y, 92.857142857143 
Mahan Air,Iran,3,Y,Y,Y,Y, 100 
Malaysia Airlines,Malaysia,3,Y,N,Y,Y, 85.714285714286 
Maldivian,Maldives,0,Y,Y,Y,Y, 42.857142857143 
Malindo Air,Malaysia,3,Y,Y,Y,Y, 100 
Malmo Aviation,Sweden,3,Y,Y,Y,Y, 100 
Mandarin Airlines,Taiwan,3,Y,Y,Y,Y, 100 
Mango Airlines,South Africa,3,Y,Y,Y,Y, 100 
MASwings,Malaysia,3,Y,Y,Y,Y, 100 
MIAT Mongolian Airlines,Mongolia,3,Y,Y,Y,Y, 100 
Middle East Airlines (MEA),Lebanon,3,Y,Y,Y,N, 85.714285714286 
Montenegro Airlines,Montenegro,3,Y,Y,N,N, 71.428571428571 
Myanmar Airways International (MAI),Myanmar,3,Y,Y,Y,Y, 92.857142857143 
Nauru Airlines,Nauru,0,Y,Y,Y,Y, 57.142857142857 
Network Aviation,Australia,0,Y,Y,Y,Y, 71.428571428571 
NOK Air,Thailand,0,Y,Y,N,N, 28.571428571429 
NokScoot,Thailand,3,Y,Y,N,N, 71.428571428571 
Nordavia,Russia,3,Y,N,Y,Y, 85.714285714286 
Norwegian,Norway,0,Y,Y,Y,Y, 71.428571428571 
Nouvelair,Tunisia,3,Y,Y,Y,Y, 92.857142857143 
Novoair,Bangladesh,0,Y,Y,Y,N, 42.857142857143 
Olympic Air,Greece,3,Y,Y,Y,Y, 92.857142857143 
Oman Air,Oman,3,Y,Y,Y,Y, 92.857142857143 
Omni Air International,United States,3,Y,Y,Y,Y, 100 
Onur Air,Turkey,3,Y,Y,Y,Y, 100 
OpenSkies,France,3,Y,Y,Y,Y, 100 
Pakistan International Airlines,Pakistan,3,Y,N,Y,Y, 85.714285714286 
PAL Express,Philippines,3,Y,Y,Y,Y, 100 
Passaredo,Brazil,3,Y,Y,Y,Y, 100 
Peach Air,Japan,0,Y,Y,Y,Y, 57.142857142857 
Pegasus,Turkey,3,Y,Y,Y,Y, 100 
Penair,United States,0,Y,Y,Y,Y, 57.142857142857 
Perimeter Airlines,Canada,0,Y,Y,Y,Y, 57.142857142857 
Peruvian Airlines,Peru,0,Y,Y,Y,Y, 57.142857142857 
Philippine Airlines,Philippines,3,Y,Y,Y,Y, 100 
Pobeda,Russia,3,Y,Y,Y,Y, 100 
Porter Airlines,Canada,0,Y,Y,Y,Y, 57.142857142857 
Portugalia Airlines,Portugal,3,Y,Y,Y,Y, 100 
