Year,Origin,Dest,LATITUDE,LONGITUDE
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,ABQ,LAX,35.04019927978516,-106.60900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,LAS,34.20069885253906,-118.35900115966797
1987,BUR,OAK,34.20069885253906,-118.35900115966797
1987,BUR,OAK,34.20069885253906,-118.35900115966797
1987,BUR,OAK,34.20069885253906,-118.35900115966797
