Origin,START-LATITUDE,START-LONGITUDE,Dest,END-LATITUDE,END-LONGITUDE
CAE,33.93880081,-81.11949921,MIA,25.79319954,-80.29060364
ERI,42.08312701,-80.17386675,ERI,42.08312701,-80.17386675
HPN,41.06700134,-73.70760345,PHF,37.13190079,-76.49299622
MHT,42.93259811,-71.43569946,TOL,41.58679962,-83.80780029
MLB,28.10280037,-80.64530182,ILM,34.27059937,-77.90260315
SWF,41.5041008,-74.10479736,PWM,43.64619827,-70.30930328
TRI,36.47520065,-82.40740204,HPN,41.06700134,-73.70760345
SJU,18.43939972,-66.00180054,MKE,42.94720078,-87.89659882
SRQ,27.39539909,-82.55439758,MSP,44.88199997,-93.22180176
COS,38.80580139,-104.7009964,SBN,41.70869827,-86.31729889
SDF,38.1744,-85.736,AVL,35.43619919,-82.54180145
SLC,40.78839874,-111.9779968,MYR,33.67969894,-78.92829895
STX,17.70190048,-64.79859924,PNS,30.47340012,-87.18659973
BHM,33.56290054,-86.75350189,COS,38.80580139,-104.7009964
MEM,35.04240036,-89.97669983,OKC,35.39310074,-97.60070038
SAV,32.12760162,-81.20210266,TUL,36.19839859,-95.88809967
BIL,45.80770111,-108.5429993,BOI,43.56439972,-116.2229996
BOI,43.56439972,-116.2229996,SAT,29.53370094,-98.46980286
GEG,47.61989975,-117.5339966,EUG,44.12459946,-123.211998
GRR,42.88079834,-85.52279663,ONT,34.05599976,-117.6009979
OKC,35.39310074,-97.60070038,CVG,39.04880142,-84.6678009
ONT,34.05599976,-117.6009979,DSM,41.5340004,-93.6631012
PDX,45.58869934,-122.5979996,SLC,40.78839874,-111.9779968
SAT,29.53370094,-98.46980286,SJU,18.43939972,-66.00180054
EGE,39.64260101,-106.9179993,SRQ,27.39539909,-82.55439758
ANC,61.17440033,-149.9960022,STT,18.33729935,-64.9733963
ELP,31.80719948,-106.3779984,EYW,24.55610085,-81.75959778
EYW,24.55610085,-81.75959778,ANC,61.17440033,-149.9960022
STT,18.33729935,-64.9733963,AUS,30.19449997,-97.66989899
AMA,35.2193985,-101.7060013,ELP,31.80719948,-106.3779984
CRP,27.77039909,-97.50119781,AMA,35.2193985,-101.7060013
DAL,32.8470993,-96.85179901,DAL,32.8470993,-96.85179901
HRL,26.22850037,-97.65440369,HOU,29.64539909,-95.27890015
JAN,32.31119919,-90.07589722,LBB,33.66360092,-101.822998
LBB,33.66360092,-101.822998,MAF,31.94249916,-102.2020035
LIT,34.72940063,-92.22429657,HRL,26.22850037,-97.65440369
MAF,31.94249916,-102.2020035,BHM,33.56290054,-86.75350189
TUL,36.19839859,-95.88809967,JAN,32.31119919,-90.07589722
